Route,Grade,Grade band,Discipline,Grade system,Area,Wall,Source,Latitude,Longitude,Row Key,Notion Page ID,Status
Le Champ de Chanvre,7+/8-,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Le Champ de Chanvre,,to create
Return of Tangram,6+,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Return of Tangram,,to create
It's a Pleasure,4+,1-4,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | It's a Pleasure,,to create
Wepsenstich,5,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Wepsenstich,,to create
A Beda's Place is on the Top,5+,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | A Beda's Place is on the Top,,to create
Wop Ebene,6,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Wop Ebene,,to create
Kasperltheater,5,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Kasperltheater,,to create
Confetti Show,4,1-4,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Confetti Show,,to create
Chiemsee,7+,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Chiemsee,,to create
Make Your Way to the Matura,6-,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Make Your Way to the Matura,,to create
Fuck the Army,6,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Fuck the Army,,to create
Vollrausch,7-,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Vollrausch,,to create
Blede Gschicht,6+,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Blede Gschicht,,to create
The Nose,7+,5-7,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | The Nose,,to create
Höhlenbär,8,8-11,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | Höhlenbär,,to create
XTC,8,8-11,sport,UIAA,Wöllersdorf Hart,Zentraler Wandteil,Österreich Ost,,,Wöllersdorf Hart | Zentraler Wandteil | XTC,,to create
Hallo Kitty,4,1-4,sport,UIAA,Wöllersdorf Hart,Kinderwand,Österreich Ost,,,Wöllersdorf Hart | Kinderwand | Hallo Kitty,,to create
Mama Muh Räumtauf,4,1-4,sport,UIAA,Wöllersdorf Hart,Kinderwand,Österreich Ost,,,Wöllersdorf Hart | Kinderwand | Mama Muh Räumtauf,,to create
Bimbulli,5-,5-7,sport,UIAA,Wöllersdorf Hart,Kinderwand,Österreich Ost,,,Wöllersdorf Hart | Kinderwand | Bimbulli,,to create
Wickie,6+,5-7,sport,UIAA,Wöllersdorf Hart,Kinderwand,Österreich Ost,,,Wöllersdorf Hart | Kinderwand | Wickie,,to create
Halvar,7+,5-7,sport,UIAA,Wöllersdorf Hart,Kinderwand,Österreich Ost,,,Wöllersdorf Hart | Kinderwand | Halvar,,to create
Crash Pad Test,6a+,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Crash Pad Test,,to create
Stealth,5c,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Stealth,,to create
Hugh,6c,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Hugh,,to create
Grüner Quergang,5b,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Grüner Quergang,,to create
Quergang,5c,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Quergang,,to create
Miraculix,4a,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Miraculix,,to create
Flashpoint,5b,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Flashpoint,,to create
Struck a Nerve,5a,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Struck a Nerve,,to create
Floods,4c,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Floods,,to create
No End in Sight,6b,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | No End in Sight,,to create
Nur die Kanten,6b,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Nur die Kanten,,to create
Space Avenue,5c,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Space Avenue,,to create
Traverse (Wöllersdorf),4a,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Traverse (Wöllersdorf),,to create
Highly Officious,5b,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Highly Officious,,to create
Fringe Benefits,6b,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Fringe Benefits,,to create
Afterburner,6c+,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Afterburner,,to create
Shrink to Fit,6b,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Shrink to Fit,,to create
Löchriges Vergnügen,6a,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Löchriges Vergnügen,,to create
Scharfes Eck,4b,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Scharfes Eck,,to create
Tintifax,5a,Boulder,boulder,Font,Wöllersdorf Hart,Wöllersdorf Hart (Boulder),Österreich Ost,,,Wöllersdorf Hart | Wöllersdorf Hart (Boulder) | Tintifax,,to create
Südföhn,6+/7-,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Südföhn,,to create
Direkter Schock,3+,1-4,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Direkter Schock,,to create
Kreislaufstillstand,4+,1-4,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Kreislaufstillstand,,to create
Schock,3,1-4,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Schock,,to create
Eiswind,6+,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Eiswind,,to create
Polarsturm,6+,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Polarsturm,,to create
Geentert,2,1-4,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Geentert,,to create
Gekentert,7+,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Gekentert,,to create
Steuerbord,3+,1-4,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Steuerbord,,to create
Nebelhorn,3,1-4,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Nebelhorn,,to create
Schiffsbug,7-,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Schiffsbug,,to create
Reling,7-,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Reling,,to create
Backbord,6+,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Backbord,,to create
Beziehungskrise,6+,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Beziehungskrise,,to create
Gespaltene Beziehung,7-,5-7,sport,UIAA,Arnstein,Arnsteinblöcke,Österreich Ost,,,Arnstein | Arnsteinblöcke | Gespaltene Beziehung,,to create
Easy Rider (Arnstein),3b,Boulder,boulder,Font,Arnstein,Arnsteinblöcke (Boulder),Österreich Ost,,,Arnstein | Arnsteinblöcke (Boulder) | Easy Rider (Arnstein),,to create
Scherbendiagorauf,4a,Boulder,boulder,Font,Arnstein,Arnsteinblöcke (Boulder),Österreich Ost,,,Arnstein | Arnsteinblöcke (Boulder) | Scherbendiagorauf,,to create
Gigant,4a,Boulder,boulder,Font,Arnstein,Arnsteinblöcke (Boulder),Österreich Ost,,,Arnstein | Arnsteinblöcke (Boulder) | Gigant,,to create
Felskamasutra,7-,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Felskamasutra,,to create
Hot Sex Movie,7+,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Hot Sex Movie,,to create
Heisse Liebe,7-/7,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Heisse Liebe,,to create
Selbstbetrug,7+,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Selbstbetrug,,to create
TIA,7+,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | TIA,,to create
HM,7+,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | HM,,to create
Vergnügen Pur,8/8+,8-11,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Vergnügen Pur,,to create
Schreck Pur,8,8-11,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Schreck Pur,,to create
Undertacker,8-,8-11,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Undertacker,,to create
Quertacker,6-,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Quertacker,,to create
Nordwestkante,6+,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Nordwestkante,,to create
Fluch der Karibik,8-,8-11,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Fluch der Karibik,,to create
Seifenblase,7/7+,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Seifenblase,,to create
Massa Buana,7-/7,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Massa Buana,,to create
Zwei Herzen aus Stein,6+,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Zwei Herzen aus Stein,,to create
Träume sind Schäume,7-,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Träume sind Schäume,,to create
Das erste Mal tut immer weh,6+/7-,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Das erste Mal tut immer weh,,to create
Mauerläufer (Arnsteinturm),5+,5-7,sport,UIAA,Arnstein,Arnsteinturm,Österreich Ost,,,Arnstein | Arnsteinturm | Mauerläufer (Arnsteinturm),,to create
Griffls,6b+,Boulder,boulder,Font,Arnstein,Arnsteinturm (Boulder),Österreich Ost,,,Arnstein | Arnsteinturm (Boulder) | Griffls,,to create
Liebe ist für alle da,6b,Boulder,boulder,Font,Arnstein,Arnsteinturm (Boulder),Österreich Ost,,,Arnstein | Arnsteinturm (Boulder) | Liebe ist für alle da,,to create
Cause I'm a Sexmachine,6c,Boulder,boulder,Font,Arnstein,Arnsteinturm (Boulder),Österreich Ost,,,Arnstein | Arnsteinturm (Boulder) | Cause I'm a Sexmachine,,to create
Fly wie Paul Preuss,7a,Boulder,boulder,Font,Arnstein,Arnsteinturm (Boulder),Österreich Ost,,,Arnstein | Arnsteinturm (Boulder) | Fly wie Paul Preuss,,to create
Links 2 3 4,6c,Boulder,boulder,Font,Arnstein,Arnsteinturm (Boulder),Österreich Ost,,,Arnstein | Arnsteinturm (Boulder) | Links 2 3 4,,to create
In Love with Robert Carpa,7a,Boulder,boulder,Font,Arnstein,Arnsteinturm (Boulder),Österreich Ost,,,Arnstein | Arnsteinturm (Boulder) | In Love with Robert Carpa,,to create
Route 55,6a,Boulder,boulder,Font,Arnstein,Arnsteinturm (Boulder),Österreich Ost,,,Arnstein | Arnsteinturm (Boulder) | Route 55,,to create
Kindervia,2,1-4,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Kindervia,,to create
Mayerfährte,2+,1-4,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Mayerfährte,,to create
Burgfräulein,4,1-4,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Burgfräulein,,to create
Ziegenquergang,3+,1-4,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Ziegenquergang,,to create
Burgherr,6,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Burgherr,,to create
Bruder Baum,5,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Bruder Baum,,to create
Linke Löcher,5+,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Linke Löcher,,to create
Vorsicht Max,7-,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Vorsicht Max,,to create
Oh Mutzi,6+,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Oh Mutzi,,to create
Direkte Rampe,6,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Direkte Rampe,,to create
Triceratop,6+,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Triceratop,,to create
Rock Ballett,9/9+,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Rock Ballett,,to create
Mojito,8,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Mojito,,to create
Mutzsteig,5,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Mutzsteig,,to create
Pausenfüller,6,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Pausenfüller,,to create
Marriage Exorbitant,10-,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Marriage Exorbitant,,to create
Under Pressure,10,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Under Pressure,,to create
Schneller als die Schwerkraft,8,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Schneller als die Schwerkraft,,to create
Zustieg,5-,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Zustieg,,to create
Hofnarr,5,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Hofnarr,,to create
Minimundus,7,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Minimundus,,to create
Kleinigkeiten,7,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Kleinigkeiten,,to create
Nichtigkeiten,7,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Nichtigkeiten,,to create
Melange,6,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Melange,,to create
Cafe Bequem,6,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Cafe Bequem,,to create
Hals- und Steinbruch,8-,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Hals- und Steinbruch,,to create
Der weite Horizont,7+,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Der weite Horizont,,to create
Serpentinen,7,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Serpentinen,,to create
Unmittelbare Westwand,8,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Unmittelbare Westwand,,to create
Der Lebensfaden,8+,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Der Lebensfaden,,to create
Sonnenkönig,8-,8-11,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Sonnenkönig,,to create
Schattenreich,7/7+,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Schattenreich,,to create
Im Vollrausch,6+,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Im Vollrausch,,to create
Stocknüchtern,7,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Stocknüchtern,,to create
Batzenfett,6/6+,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Batzenfett,,to create
Sonne Mond und Sterne,6+,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Sonne Mond und Sterne,,to create
Meteoritenschauer,5,5-7,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Meteoritenschauer,,to create
Südwestriss (Hauptwand),4,1-4,sport,UIAA,Arnstein,Arnstein Hauptwand,Österreich Ost,,,Arnstein | Arnstein Hauptwand | Südwestriss (Hauptwand),,to create
Zgonc,6a,Boulder,boulder,Font,Arnstein,Arnstein Hauptwand (Boulder),Österreich Ost,,,Arnstein | Arnstein Hauptwand (Boulder) | Zgonc,,to create
Omo,5a,Boulder,boulder,Font,Arnstein,Arnstein Hauptwand (Boulder),Österreich Ost,,,Arnstein | Arnstein Hauptwand (Boulder) | Omo,,to create
Innerer Mutz,7,5-7,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Innerer Mutz,,to create
Torbogen,7-,5-7,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Torbogen,,to create
Santa Klaus,3+,1-4,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Santa Klaus,,to create
Desire,9,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Desire,,to create
Das 3. Auge der Kundalini,9,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Das 3. Auge der Kundalini,,to create
Horizontaler Kraftakt,8,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Horizontaler Kraftakt,,to create
Outlaw,8,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Outlaw,,to create
Kraftlos und nicht schwerlos,9,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Kraftlos und nicht schwerlos,,to create
Von der hohen Kante fliegen,9-/9,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Von der hohen Kante fliegen,,to create
Auf die hohe Kante legen,8,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Auf die hohe Kante legen,,to create
Rot vor Wut,7+,5-7,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Rot vor Wut,,to create
Diagonalkante,8,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Diagonalkante,,to create
Warmduscher Querung,5,5-7,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Warmduscher Querung,,to create
NRG Embargo,9,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | NRG Embargo,,to create
Full Pull,9,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Full Pull,,to create
Fragil Stabil,9-,8-11,sport,UIAA,Arnstein,Arnsteinhöhle Innen,Österreich Ost,,,Arnstein | Arnsteinhöhle Innen | Fragil Stabil,,to create
Füsse Runter,5a,Boulder,boulder,Font,Arnstein,Arnsteinhöhle Innen (Boulder),Österreich Ost,,,Arnstein | Arnsteinhöhle Innen (Boulder) | Füsse Runter,,to create
Everdry,6a,Boulder,boulder,Font,Arnstein,Arnsteinhöhle Innen (Boulder),Österreich Ost,,,Arnstein | Arnsteinhöhle Innen (Boulder) | Everdry,,to create
Blue in the Face,6c,Boulder,boulder,Font,Arnstein,Arnsteinhöhle Innen (Boulder),Österreich Ost,,,Arnstein | Arnsteinhöhle Innen (Boulder) | Blue in the Face,,to create
Hyäne,7a,Boulder,boulder,Font,Arnstein,Arnsteinhöhle Innen (Boulder),Österreich Ost,,,Arnstein | Arnsteinhöhle Innen (Boulder) | Hyäne,,to create
Sternenstaub,7,5-7,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Sternenstaub,,to create
Supernova,7+,5-7,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Supernova,,to create
Schwarzes Loch,8/8+,8-11,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Schwarzes Loch,,to create
Kometenschweif,8-,8-11,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Kometenschweif,,to create
Sternschnuppe,7-,5-7,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Sternschnuppe,,to create
Tiger sind Gelenkig,6,5-7,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Tiger sind Gelenkig,,to create
Tiger Schnapp zu,9-,8-11,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Tiger Schnapp zu,,to create
Tiger Katzi-Tatzi,8,8-11,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Tiger Katzi-Tatzi,,to create
Der Hangelnde Tiger,7+,5-7,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Der Hangelnde Tiger,,to create
Tigerspalt,5+,5-7,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Tigerspalt,,to create
Tigerkamin,3+,1-4,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Tigerkamin,,to create
Westriss,6,5-7,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Westriss,,to create
Tigernase,5+,5-7,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Tigernase,,to create
Tigerkante,4+,1-4,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Tigerkante,,to create
Tiger auf Streifgang,4+,1-4,sport,UIAA,Arnstein,Tigerturm,Österreich Ost,,,Arnstein | Tigerturm | Tiger auf Streifgang,,to create
